City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Santander Jimenez,MX,24.2167,-98.4667,81.86,68,0,7.54,clear sky
80,San Patricio,US,28.017,-97.5169,83.86,83,2,9.64,clear sky
81,Mersing,MY,2.4312,103.8405,78.71,94,98,0.0,light rain
82,Lorengau,PG,-2.0226,147.2712,79.93,85,99,15.52,overcast clouds
83,Laguna,US,38.421,-121.4238,72.97,69,1,3.0,clear sky
84,Coquimbo,CL,-29.9533,-71.3436,55.13,87,90,1.03,overcast clouds
85,Pangnirtung,CA,66.1451,-65.7125,35.06,79,16,2.73,few clouds
86,Sarandi,BR,-23.4436,-51.8739,76.55,53,0,9.04,clear sky
87,Nanortalik,GL,60.1432,-45.2371,44.74,70,100,10.49,overcast clouds
88,Camacha,PT,33.0833,-16.3333,68.76,64,40,18.41,scattered clouds
89,Atambua,ID,-9.1061,124.8925,70.72,84,72,5.77,broken clouds
90,Lanigan,CA,51.8501,-105.0344,58.89,62,69,13.2,broken clouds
91,Tiksi,RU,71.6872,128.8694,42.55,67,90,6.64,overcast clouds
92,Chokurdakh,RU,70.6333,147.9167,34.34,93,100,8.23,light rain
93,Ribeira Grande,PT,38.5167,-28.7,68.4,83,40,13.8,scattered clouds
94,Kovernino,RU,57.1253,43.8142,67.41,73,100,1.88,overcast clouds
95,Saskylakh,RU,71.9167,114.0833,39.25,60,97,8.68,overcast clouds
96,Porec,HR,45.2258,13.5939,77.65,73,37,5.97,scattered clouds
97,Coos Bay,US,43.3665,-124.2179,49.23,90,90,8.05,overcast clouds
98,Lagoa,PT,39.05,-27.9833,64.11,88,100,14.16,overcast clouds
99,Jieshou,CN,33.2634,115.3611,82.4,44,100,10.18,light rain
100,Garissa,KE,-0.4536,39.6401,91.08,34,35,23.67,scattered clouds
101,Douglas,US,41.3,-96.167,76.6,75,1,8.99,clear sky
102,Mudgee,AU,-32.5943,149.5871,35.65,100,11,0.0,few clouds
103,Tuatapere,NZ,-46.1333,167.6833,44.35,83,74,3.24,broken clouds
104,Teahupoo,PF,-17.8333,-149.2667,71.56,75,12,11.5,few clouds
105,Luis Correia,BR,-2.8792,-41.6669,85.6,57,5,3.65,clear sky
106,Adrar,MR,20.5022,-10.0711,109.08,8,1,23.17,clear sky
107,Airai,TL,-8.9266,125.4092,57.58,90,96,2.77,overcast clouds
108,Lebu,CL,-37.6167,-73.65,47.64,76,100,2.84,overcast clouds
109,Pyapon,MM,16.2833,95.6833,87.69,59,99,10.98,overcast clouds
110,Norman Wells,CA,65.282,-126.8329,41.04,100,90,10.36,light rain
111,Half Moon Bay,US,37.4636,-122.4286,59.16,81,75,1.99,haze
112,Qaqortoq,GL,60.7167,-46.0333,57.7,79,100,5.35,overcast clouds
113,Mandali,IQ,33.7499,45.5541,104.61,7,0,17.98,clear sky
114,Honningsvag,NO,70.9821,25.9704,40.06,72,6,5.5,clear sky
115,Ponta Do Sol,PT,32.6667,-17.1,73.71,67,0,1.95,clear sky
116,Nikolskoye,RU,59.7035,30.7861,76.89,33,9,7.2,clear sky
117,Bichena,ET,10.45,38.2,76.55,16,12,4.83,few clouds
118,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,74,90,6.91,overcast clouds
119,Poum,NC,-20.2333,164.0167,72.75,60,93,20.54,overcast clouds
120,Portland,US,45.5234,-122.6762,51.89,84,90,1.01,overcast clouds
121,Barillas,GT,15.8036,-91.3158,70.14,77,85,2.01,overcast clouds
122,Neuquen,AR,-38.9516,-68.0591,46.29,57,0,8.05,clear sky
123,Rundu,NA,-17.9333,19.7667,74.79,23,1,8.39,clear sky
124,Atuona,PF,-9.8,-139.0333,79.09,67,65,11.54,broken clouds
125,Umm Kaddadah,SD,13.6017,26.6876,100.89,9,16,8.68,few clouds
126,Ingham,US,42.6,-84.3833,82.17,53,40,5.75,scattered clouds
127,Tocopilla,CL,-22.092,-70.1979,66.99,60,12,7.25,few clouds
128,Kachiry,KZ,53.0675,76.1036,71.13,35,6,5.1,clear sky
129,Esperance,AU,-33.8667,121.9,57.04,75,25,23.6,light rain
130,Yichang,CN,30.7144,111.2847,80.2,78,100,3.65,light rain
131,Chuy,UY,-33.6971,-53.4616,56.25,74,100,6.31,overcast clouds
132,East London,ZA,-33.0153,27.9116,68.94,56,0,9.22,clear sky
133,Viedma,AR,-40.8135,-62.9967,48.69,49,100,5.88,overcast clouds
134,Tezu,IN,27.9167,96.1667,73.35,97,100,2.82,overcast clouds
135,Marsh Harbour,BS,26.5412,-77.0636,79.88,77,99,15.73,overcast clouds
136,Hovd,MN,48.0056,91.6419,52.47,30,20,12.48,few clouds
137,Vermilion,US,40.1667,-87.7506,79.18,69,40,3.0,scattered clouds
138,Gannan,CN,47.9147,123.5031,59.36,53,0,3.53,clear sky
139,Qui Nhon,VN,13.7667,109.2333,83.14,82,100,4.99,overcast clouds
140,Bethel,US,41.3712,-73.414,88.09,61,1,5.75,clear sky
141,Naze,JP,28.3667,129.4833,68.4,91,100,8.12,light rain
142,Cabo San Lucas,MX,22.8909,-109.9124,88.81,58,64,9.93,broken clouds
143,Vanavara,RU,60.34,102.2797,42.55,51,1,8.25,clear sky
144,Huarmey,PE,-10.0681,-78.1522,67.26,76,85,5.64,overcast clouds
145,Fort-Shevchenko,KZ,44.5086,50.263,72.79,62,0,12.97,clear sky
146,Oranjestad,AW,12.524,-70.027,84.15,83,20,5.99,few clouds
147,Victoria,HK,22.2855,114.1577,84.38,81,7,1.99,clear sky
148,Coari,BR,-4.085,-63.1414,85.84,62,46,3.74,scattered clouds
149,Camp Verde,US,34.5636,-111.8543,79.36,22,3,4.0,clear sky
150,Padang,ID,-0.9492,100.3543,78.24,81,85,3.31,overcast clouds
151,Khvoynaya,RU,58.9,34.5333,78.39,29,15,0.58,few clouds
152,Asau,RO,46.4333,26.4,70.72,53,18,2.93,few clouds
153,Hidrolandia,BR,-4.4081,-40.4378,90.73,39,72,3.04,broken clouds
154,Garowe,SO,8.4054,48.4845,91.8,32,0,19.89,clear sky
155,Saldanha,ZA,-33.0117,17.9442,73.04,34,56,19.01,broken clouds
156,Faya,SA,18.3851,42.4509,82.51,43,41,15.73,scattered clouds
157,Pimentel,PE,-6.8367,-79.9342,68.29,86,90,3.0,overcast clouds
158,Bandarbeyla,SO,9.4942,50.8122,83.39,69,8,29.71,clear sky
159,Hobart,AU,-42.8794,147.3294,52.27,87,75,5.35,broken clouds
160,Touros,BR,-5.1989,-35.4608,83.3,66,39,14.72,scattered clouds
161,Tomatlan,MX,19.9333,-105.25,81.21,65,91,1.01,overcast clouds
162,Kedrovyy,RU,56.1667,91.8167,55.81,85,63,9.84,broken clouds
163,Mizdah,LY,31.4451,12.9801,95.25,9,69,12.95,broken clouds
164,Floro,NO,61.5996,5.0328,67.23,77,75,9.22,broken clouds
165,Biltine,TD,14.5333,20.9167,102.78,11,0,1.3,clear sky
166,Kavaratti,IN,10.5669,72.642,82.29,76,100,9.66,overcast clouds
167,Hualmay,PE,-11.0964,-77.6139,66.15,74,90,5.17,overcast clouds
168,Pasni,PK,25.2631,63.471,84.65,76,0,10.42,clear sky
169,Vulcan,RO,45.3833,23.2667,69.51,46,30,8.84,scattered clouds
170,Ouango,CF,4.3133,22.5552,81.48,63,49,5.19,scattered clouds
171,Iranshahr,IR,27.2025,60.6848,106.14,29,20,18.41,sand
172,Vao,NC,-22.6667,167.4833,71.37,59,75,17.58,broken clouds
173,Salalah,OM,17.0151,54.0924,87.89,79,40,12.66,scattered clouds
174,Surt,LY,31.2089,16.5887,78.66,46,3,16.04,clear sky
175,Cidreira,BR,-30.1811,-50.2056,63.01,86,100,8.43,overcast clouds
176,Genhe,CN,50.7833,121.5167,52.54,52,0,3.4,clear sky
177,Gold Coast,AU,-28.0,153.4333,53.01,89,0,6.87,clear sky
178,High Level,CA,58.5169,-117.136,51.91,87,75,9.73,light rain
179,Hasaki,JP,35.7333,140.8333,68.29,90,100,6.69,overcast clouds
180,Ramanuj Ganj,IN,23.8,83.7,89.53,38,12,3.69,few clouds
181,Tamiahua,MX,21.2667,-97.45,82.6,79,100,6.58,overcast clouds
182,Torbat-E Jam,IR,35.244,60.6225,93.2,21,1,19.89,clear sky
183,Port Macquarie,AU,-31.4333,152.9167,49.37,70,0,6.44,clear sky
184,Port Shepstone,ZA,-30.7414,30.455,67.71,75,0,20.85,clear sky
185,Vardo,NO,70.3705,31.1107,46.6,65,40,13.8,scattered clouds
186,Kaputa,ZM,-8.4689,29.6619,75.99,54,100,4.54,overcast clouds
187,Khatanga,RU,71.9667,102.5,36.01,81,100,4.68,overcast clouds
188,Fairbanks,US,64.8378,-147.7164,53.92,70,75,5.75,broken clouds
189,Muros,ES,42.7762,-9.0603,79.68,52,100,14.07,overcast clouds
190,Rawson,AR,-43.3002,-65.1023,46.44,53,100,12.57,overcast clouds
191,New Norfolk,AU,-42.7826,147.0587,51.93,82,100,1.01,overcast clouds
192,Margate,GB,51.3813,1.3862,70.86,81,34,7.74,scattered clouds
193,Okha,RU,53.5739,142.9478,35.15,98,100,12.26,overcast clouds
194,Tura,IN,25.5198,90.2201,74.46,93,48,6.98,scattered clouds
195,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,68,40,4.23,scattered clouds
196,Wajid,SO,3.8093,43.2471,91.81,30,100,14.36,overcast clouds
197,Beloha,MG,-25.1667,45.05,65.91,59,86,14.7,overcast clouds
198,Port Hardy,CA,50.6996,-127.4199,48.38,93,90,12.66,overcast clouds
199,Whitehorse,CA,60.7161,-135.0538,45.37,93,75,3.0,broken clouds
200,Port-Gentil,GA,-0.7193,8.7815,84.16,74,40,14.97,light rain
201,Tallahassee,US,30.4383,-84.2807,82.49,83,75,4.0,broken clouds
202,Martapura,ID,-3.4167,114.85,80.69,89,75,2.51,broken clouds
203,Aguimes,ES,27.9054,-15.4461,70.66,56,20,29.93,few clouds
204,Soloneshnoye,RU,51.6544,84.3197,55.51,87,2,2.62,clear sky
205,Tarbagatay,RU,51.4803,107.3602,47.73,89,100,5.59,overcast clouds
206,Temiscaming,CA,46.7212,-79.0971,76.51,61,43,5.75,scattered clouds
207,Mar Del Plata,AR,-38.0023,-57.5575,52.12,64,0,10.0,clear sky
208,Elliot Lake,CA,46.3834,-82.6331,68.09,94,98,4.97,overcast clouds
209,Lakes Entrance,AU,-37.8811,147.981,53.19,75,100,7.99,overcast clouds
210,Mitsamiouli,KM,-11.3847,43.2844,79.43,72,94,22.55,overcast clouds
211,Medea,DZ,36.2642,2.7539,66.65,59,34,10.09,scattered clouds
212,Acapulco,MX,16.8634,-99.8901,84.02,70,40,1.95,scattered clouds
213,Klaksvik,FO,62.2266,-6.589,49.12,88,99,18.14,overcast clouds
214,Ilhabela,BR,-23.7781,-45.3581,81.57,52,100,2.33,overcast clouds
215,Saint George,US,37.1041,-113.5841,87.53,21,1,1.01,clear sky
216,Bria,CF,6.5423,21.9863,85.15,57,65,2.84,broken clouds
217,Ketchikan,US,55.3422,-131.6461,48.67,93,90,0.0,light rain
218,Upernavik,GL,72.7868,-56.1549,36.43,81,13,4.41,few clouds
219,Longyearbyen,SJ,78.2186,15.6401,39.04,70,0,14.97,clear sky
220,Gobabis,NA,-22.45,18.9667,64.99,24,0,17.09,clear sky
221,Georgetown,MY,5.4112,100.3354,82.35,85,20,3.44,few clouds
222,Yumen,CN,40.2833,97.2,71.47,22,0,14.5,clear sky
223,Kitimat,CA,54.0524,-128.6534,46.9,97,100,3.42,light rain
224,Aklavik,CA,68.2191,-135.0107,33.8,80,40,5.75,scattered clouds
225,Arlit,NE,18.7369,7.3853,110.84,7,84,8.9,broken clouds
226,Pokhara,NP,28.2333,83.9833,77.86,60,99,2.95,overcast clouds
227,Yuzhno-Kurilsk,RU,44.0306,145.8556,52.09,89,99,8.75,overcast clouds
228,Bilibino,RU,68.0546,166.4372,54.59,60,3,5.46,clear sky
229,Henties Bay,NA,-22.116,14.2845,76.3,36,0,6.67,clear sky
230,Jamestown,US,42.097,-79.2353,80.29,68,1,8.05,clear sky
231,Katsuura,JP,35.1333,140.3,71.11,91,100,7.18,overcast clouds
232,Merauke,ID,-8.4667,140.3333,76.64,89,100,16.44,overcast clouds
233,Kulhudhuffushi,MV,6.6221,73.07,82.44,78,100,14.54,overcast clouds
234,Yerbogachen,RU,61.2767,108.0108,45.68,52,34,13.15,scattered clouds
235,Kalmunai,LK,7.4167,81.8167,83.07,76,100,6.38,overcast clouds
236,Sengiley,RU,53.9622,48.7944,73.47,68,100,3.24,overcast clouds
237,Durban,ZA,-29.8579,31.0292,69.03,81,0,5.99,clear sky
238,Tabou,CI,4.423,-7.3528,83.35,72,92,8.46,light rain
239,Northam,GB,51.0333,-4.2167,68.2,83,66,5.64,broken clouds
240,Sorong,ID,-0.8833,131.25,79.27,85,100,8.3,overcast clouds
241,Quatre Cocos,MU,-20.2078,57.7625,76.08,75,38,8.99,scattered clouds
242,Sabana De Torres,CO,7.3915,-73.4957,83.01,86,99,0.36,overcast clouds
243,Linxia,CN,35.6003,103.2064,60.06,56,60,2.26,broken clouds
244,Omsukchan,RU,62.5333,155.8,38.88,93,100,8.32,overcast clouds
245,Port Blair,IN,11.6667,92.75,84.72,75,89,9.75,overcast clouds
246,Panjakent,TJ,39.4952,67.6093,96.6,19,100,5.28,overcast clouds
247,Novyy Urengoy,RU,66.0833,76.6333,42.37,50,100,17.09,overcast clouds
248,Diego De Almagro,CL,-26.3667,-70.05,64.94,38,24,2.04,few clouds
249,Hamilton,US,39.1834,-84.5333,79.99,72,75,1.01,broken clouds
250,Jiwani,PK,25.05,61.7417,85.24,76,7,12.75,clear sky
251,Mukhen,RU,48.1,136.1,51.84,88,64,4.41,broken clouds
252,Souillac,MU,-20.5167,57.5167,76.35,78,40,7.63,scattered clouds
253,Naples,IT,40.8333,14.25,81.12,48,40,1.01,scattered clouds
254,Lompoc,US,34.6391,-120.4579,59.09,85,90,3.0,mist
255,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,87.78,41,44,9.6,scattered clouds
256,Aykhal,RU,66.0,111.5,49.28,45,100,9.82,overcast clouds
257,Bubaque,GW,11.2833,-15.8333,79.92,82,7,7.49,clear sky
258,Ouadda,CF,8.0777,22.4007,87.17,46,86,4.74,overcast clouds
259,Vaitape,PF,-16.5167,-151.75,80.56,72,0,11.5,clear sky
260,Ailigandi,PA,9.2333,-78.0167,83.25,75,45,4.29,scattered clouds
261,Buraydah,SA,26.326,43.975,111.65,5,0,8.32,clear sky
262,Dikson,RU,73.5069,80.5464,31.08,91,99,12.17,overcast clouds
263,Wanxian,CN,30.8039,108.3897,81.32,57,100,2.33,light rain
264,College,US,64.8569,-147.8028,53.91,69,40,0.0,scattered clouds
265,Pathein,MM,16.7833,94.7333,84.61,75,67,8.9,broken clouds
266,Constitucion,CL,-35.3333,-72.4167,51.13,58,85,3.47,overcast clouds
267,Ballina,AU,-28.8667,153.5667,50.95,93,5,0.0,clear sky
268,Alamosa,US,37.4695,-105.87,63.66,63,1,0.0,clear sky
269,Polis,CY,35.0367,32.4264,82.29,40,0,9.26,clear sky
270,Acarau,BR,-2.8856,-40.12,85.3,63,9,9.37,clear sky
271,Mangrol,IN,21.1167,70.1167,85.87,70,4,13.4,clear sky
272,Ambunti,PG,-4.2365,142.8448,74.05,99,98,1.7,overcast clouds
273,Juxtlahuaca,MX,17.4294,-99.1467,75.34,73,100,3.33,overcast clouds
