City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Owando,CG,2021-06-03 19:59:12,-0.4819,15.8999,76.44,73,15,2.66
68,Kapaa,US,2021-06-03 19:59:12,22.0752,-159.319,81.19,75,12,1.01
69,Port Hedland,AU,2021-06-03 19:59:12,-20.3167,118.5667,64.45,63,90,13.8
70,Mahebourg,MU,2021-06-03 19:59:13,-20.4081,57.7,74.25,83,75,11.5
71,Moss Vale,AU,2021-06-03 19:59:13,-34.55,150.3833,48.0,95,82,9.4
72,Marsa Matruh,EG,2021-06-03 19:59:13,31.3525,27.2453,69.62,63,0,7.11
73,Cherskiy,RU,2021-06-03 19:59:13,68.75,161.3,63.14,32,22,4.61
74,Zhigansk,RU,2021-06-03 19:59:14,66.7697,123.3711,59.5,50,100,9.73
75,Atar,MR,2021-06-03 19:59:14,20.5169,-13.0499,96.12,21,92,11.88
76,Platteville,US,2021-06-03 19:59:14,42.7342,-90.4785,86.61,30,1,14.97
77,Pevek,RU,2021-06-03 19:59:15,69.7008,170.3133,34.12,74,76,2.15
78,Tura,IN,2021-06-03 19:59:15,25.5198,90.2201,74.16,89,1,5.55
79,Mookane,BW,2021-06-03 19:59:15,-23.688,26.6595,56.14,50,4,8.43
80,Chistogorskiy,RU,2021-06-03 19:59:15,53.9835,87.3843,58.59,97,100,3.94
81,Cabo San Lucas,MX,2021-06-03 19:59:15,22.8909,-109.9124,94.8,49,0,6.13
82,Vaini,TO,2021-06-03 19:59:16,-21.2,-175.2,68.16,94,40,0.0
83,Torbay,CA,2021-06-03 19:59:16,47.6666,-52.7314,74.17,40,75,17.27
84,Saint-Michel-Des-Saints,CA,2021-06-03 19:59:16,46.6834,-73.9159,50.59,91,100,4.27
85,Volchikha,RU,2021-06-03 19:59:17,52.0333,80.3833,63.16,88,100,6.29
86,Kenai,US,2021-06-03 19:59:17,60.5544,-151.2583,61.03,75,25,5.28
87,Dumai,ID,2021-06-03 19:55:30,1.6833,101.45,75.65,97,94,2.51
88,Kolyubakino,RU,2021-06-03 19:59:17,55.668,36.5323,60.98,85,2,5.35
89,Airai,TL,2021-06-03 19:59:18,-8.9266,125.4092,57.61,91,33,2.98
90,Eureka,US,2021-06-03 19:59:18,40.8021,-124.1637,70.2,74,38,5.01
91,Georgetown,MY,2021-06-03 19:59:18,5.4112,100.3354,80.89,87,20,0.0
92,Lompoc,US,2021-06-03 19:59:18,34.6391,-120.4579,86.02,66,11,1.99
93,Marsh Harbour,BS,2021-06-03 19:59:19,26.5412,-77.0636,79.77,73,21,16.4
94,Sehithwa,BW,2021-06-03 19:59:19,-20.4667,22.7167,54.9,48,0,6.11
95,Carnarvon,AU,2021-06-03 19:59:19,-24.8667,113.6333,51.87,93,3,8.05
96,Luderitz,NA,2021-06-03 19:59:20,-26.6481,15.1594,70.74,28,0,18.41
97,Galesong,ID,2021-06-03 19:59:20,-5.3166,119.3661,75.22,77,68,4.83
98,Butaritari,KI,2021-06-03 19:59:20,3.0707,172.7902,82.85,76,100,10.09
99,Mataura,NZ,2021-06-03 19:59:20,-46.1927,168.8643,49.48,94,100,4.05
100,Mitu,CO,2021-06-03 19:59:21,1.1983,-70.1733,79.92,91,92,2.64
101,Husavik,IS,2021-06-03 19:59:21,66.0449,-17.3389,49.91,62,100,2.13
102,Jamestown,US,2021-06-03 19:57:33,42.097,-79.2353,67.32,92,90,4.0
103,Naco,MX,2021-06-03 19:59:21,31.3347,-109.9483,93.85,14,42,9.53
104,Talnakh,RU,2021-06-03 19:59:22,69.4865,88.3972,32.52,99,100,5.59
105,Thompson,CA,2021-06-03 19:59:22,55.7435,-97.8558,55.56,41,75,2.3
106,Khatanga,RU,2021-06-03 19:59:22,71.9667,102.5,31.84,89,100,5.61
107,Tuktoyaktuk,CA,2021-06-03 19:59:22,69.4541,-133.0374,44.6,70,90,12.66
108,Ponta Do Sol,PT,2021-06-03 19:59:23,32.6667,-17.1,65.03,52,64,6.31
109,Le Pont-De-Claix,FR,2021-06-03 19:59:23,45.1244,5.7064,71.46,89,89,2.89
110,Sitka,US,2021-06-03 19:59:23,57.0531,-135.33,51.69,71,90,5.75
