City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
202,Martapura,ID,80.69,broken clouds,-3.4167,114.85,Montana Hotel Syariah
206,Temiscaming,CA,76.51,scattered clouds,46.7212,-79.0971,Auberge Canadienne
210,Mitsamiouli,KM,79.43,overcast clouds,-11.3847,43.2844,Foyer ADM
212,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
214,Ilhabela,BR,81.57,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
215,Saint George,US,87.53,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
221,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Cititel Penang
226,Pokhara,NP,77.86,overcast clouds,28.2333,83.9833,Butterfly Lodge
230,Jamestown,US,80.29,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
233,Kulhudhuffushi,MV,82.44,overcast clouds,6.6221,73.07,Haajy Guest House 1
235,Kalmunai,LK,83.07,overcast clouds,7.4167,81.8167,VS Villa
238,Tabou,CI,83.35,light rain,4.423,-7.3528,hotêl doufoulougou
240,Sorong,ID,79.27,overcast clouds,-0.8833,131.25,waigo splash hotel
241,Quatre Cocos,MU,76.08,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
242,Sabana De Torres,CO,83.01,overcast clouds,7.3915,-73.4957,Hotel el Milagro
245,Port Blair,IN,84.72,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
249,Hamilton,US,79.99,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
250,Jiwani,PK,85.24,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
252,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
253,Naples,IT,81.12,scattered clouds,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
255,Sao Raimundo Das Mangabeiras,BR,87.78,scattered clouds,-7.0219,-45.4811,Hotel Tropical
257,Bubaque,GW,79.92,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
259,Vaitape,PF,80.56,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
260,Ailigandi,PA,83.25,scattered clouds,9.2333,-78.0167,Akwa Reef Lodge
263,Wanxian,CN,81.32,light rain,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
265,Pathein,MM,84.61,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
269,Polis,CY,82.29,clear sky,35.0367,32.4264,Marion
270,Acarau,BR,85.3,clear sky,-2.8856,-40.12,castelo pizzaria
271,Mangrol,IN,85.87,clear sky,21.1167,70.1167,Hotel The Royal Honours
273,Juxtlahuaca,MX,75.34,overcast clouds,17.4294,-99.1467,"Casa de Huespedes ""El centro"""
274,Evanston,US,82.51,few clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
277,Lastoursville,GA,84.38,light rain,-0.8143,12.7287,Auberge Bon Coin 02
279,Kruisfontein,ZA,76.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
280,Barra Do Corda,BR,86.76,few clouds,-5.5,-45.25,Belchior Palace Hotel
283,Saint-Raphael,HT,76.37,broken clouds,19.4333,-72.2,Adouly Hôtel
284,Caravelas,BR,79.43,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
286,Kimbe,PG,76.39,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
287,Roma,US,83.39,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
291,Kaabong,UG,76.96,broken clouds,3.4836,34.1492,Rock Motel Ltd
292,Urdoma,RU,75.27,broken clouds,61.7533,48.5442,Vikonda
293,Morondava,MG,79.32,few clouds,-20.2833,44.2833,La Case Bambou
295,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
301,Acaponeta,MX,83.68,scattered clouds,22.4964,-105.3594,Hotel Casa Blanca
302,Naifaru,MV,82.49,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
303,Samarai,PG,77.88,light rain,-10.6167,150.6667,Nuli Sapi
304,Pangkalanbuun,ID,75.38,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
306,Port Elizabeth,ZA,79.11,clear sky,-33.918,25.5701,39 On Nile Guest House
309,Kavieng,PG,82.29,broken clouds,-2.5744,150.7967,Nusa Island Retreat
312,Bocaiuva,BR,78.51,scattered clouds,-17.1078,-43.815,Hotel Maxim's
313,Wadi Musa,JO,76.14,clear sky,30.3222,35.4793,Petra Palace Hotel
324,Mangan,IN,75.18,overcast clouds,27.5167,88.5333,Hotel Mout View
326,Irece,BR,75.88,overcast clouds,-11.3042,-41.8558,RADAR INN HOTEL
328,Myitkyina,MM,75.76,clear sky,25.3833,97.4,Shwe Phyu Hotel
329,Tubmanburg,LR,83.95,light rain,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
330,Haapiti,PF,76.73,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
334,Bredasdorp,ZA,77.29,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
336,Sao Jose Da Coroa Grande,BR,80.91,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
338,Rameswaram,IN,84.45,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
339,Balikpapan,ID,78.53,overcast clouds,-1.2675,116.8289,ibis Balikpapan
340,Lazaro Cardenas,MX,83.88,broken clouds,17.9583,-102.2,quinta antigua
345,Mumford,GH,83.16,light rain,5.2618,-0.759,Spanish Villa
347,Ormara,PK,85.28,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
348,Dingle,PH,78.12,light rain,10.9995,122.6711,SEGAYA PROPERTY
353,Belmonte,BR,82.4,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
356,Calabozo,VE,76.17,overcast clouds,8.9242,-67.4293,Hotel Giardini
357,Paragould,US,76.84,broken clouds,36.0584,-90.4973,Linwood Motel
358,Stejari,RO,81.48,clear sky,44.7667,23.6833,Pensiunea Agroturistică Marius
361,Maniago,IT,76.69,overcast clouds,46.1706,12.7078,Hotel Al Giardino
362,Itoman,JP,79.57,moderate rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
363,Koutsouras,GR,76.06,clear sky,35.0339,25.9469,The White Houses
364,Faanui,PF,80.56,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
366,Rosetta,EG,76.82,clear sky,31.4044,30.4164,Green Valley
367,Meulaboh,ID,78.4,light rain,4.1363,96.1285,Kost Pria
371,Ambon,ID,78.94,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
377,Colares,PT,80.28,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
380,Bengkulu,ID,75.9,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
381,Don Sak,TH,80.55,light rain,9.3168,99.6918,Sea Sun Moon Hostel
387,Leua,SK,79.11,few clouds,48.2156,18.6071,Business Hotel ASTRUM Laus
389,Lizzano,IT,87.89,clear sky,40.391,17.4476,La Nuova Fattoria - Lizzano (TA)
390,Sinnamary,GF,79.95,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
392,Malakal,SS,87.82,light rain,9.5334,31.6605,Nile Palace Hotel
